CDS	old_locus_tag	sce4138
CDS	old_locus_tag	sce4137
CDS	old_locus_tag	sce4136
CDS	old_locus_tag	sce4135
CDS	old_locus_tag	sce4134
CDS	old_locus_tag	sce4133
CDS	old_locus_tag	sce4132

CDS	old_locus_tag	sce3185
CDS	old_locus_tag	sce3186
CDS	old_locus_tag	sce3187
CDS	old_locus_tag	sce3188
CDS	old_locus_tag	sce3189
CDS	old_locus_tag	sce3190
CDS	old_locus_tag	sce3191
CDS	old_locus_tag	sce3192
CDS	old_locus_tag	sce3193
CDS	old_locus_tag	sce3194
CDS	old_locus_tag	sce3195

CDS	old_locus_tag	sce8254
CDS	old_locus_tag	sce8255
CDS	old_locus_tag	sce8256
CDS	old_locus_tag	sce8257
CDS	old_locus_tag	sce8258
CDS	old_locus_tag	sce8259
CDS	old_locus_tag	sce8260
CDS	old_locus_tag	sce8261
CDS	old_locus_tag	sce8262

CDS	old_locus_tag	sce3879
CDS	old_locus_tag	sce3880
CDS	old_locus_tag	sce3881
CDS	old_locus_tag	sce3882
CDS	old_locus_tag	sce3883
CDS	old_locus_tag	sce3884
CDS	old_locus_tag	sce3885
CDS	old_locus_tag	sce3886
CDS	old_locus_tag	sce3887
CDS	old_locus_tag	sce3888
CDS	old_locus_tag	sce3889
CDS	old_locus_tag	sce3890
CDS	old_locus_tag	sce3891

CDS	old_locus_tag	sce0818
CDS	old_locus_tag	sce0819
CDS	old_locus_tag	sce0820

CDS	old_locus_tag	sce0580
CDS	old_locus_tag	sce0581
CDS	old_locus_tag	sce0582
CDS	old_locus_tag	sce0583
CDS	old_locus_tag	sce0584
CDS	old_locus_tag	sce0585
CDS	old_locus_tag	sce0586
CDS	old_locus_tag	sce0587

CDS	old_locus_tag	sce2133
CDS	old_locus_tag	sce2182

CDS	old_locus_tag	sce0345
CDS	old_locus_tag	sce6823

CDS	old_locus_tag	sce0436
CDS	old_locus_tag	sce2387
CDS	old_locus_tag	sce4888
CDS	old_locus_tag	sce8219

CDS	old_locus_tag	sce1440
CDS	old_locus_tag	sce6369
CDS	old_locus_tag	sce8552
