gbk	record_label	record_subtitle	record_id	order	row	column
../tests/test_inputs/GCF_030060435.1_ASM3006043v1_genomic.gbff	<i>Vibrio harveyi</i>	SB1	NZ_CP125875.1	1	1	1
../tests/test_inputs/GCF_030060435.1_ASM3006043v1_genomic.gbff			NZ_CP125876.1	2	1	2
../tests/test_inputs/GCF_030060435.1_ASM3006043v1_genomic.gbff			NZ_CP125877.1	3	1	3
../tests/test_inputs/GCF_002021755.1_ASM202175v1_genomic.gbff	<i>Vibrio owensii</i>	XSBZ03	NZ_CP019959.1	4	2	1
../tests/test_inputs/GCF_002021755.1_ASM202175v1_genomic.gbff			NZ_CP019960.1	5	2	2
../tests/test_inputs/GCF_002906475.1_ASM290647v1_genomic.gbff	<i>Vibrio campbellii</i>	BoB-53	NZ_CP026321.1	6	3	1
../tests/test_inputs/GCF_002906475.1_ASM290647v1_genomic.gbff			NZ_CP026322.1	7	3	2
../tests/test_inputs/GCF_000196095.1_ASM19609v1_genomic.gbff	<i>Vibrio parahaemolyticus</i>	RIMD 2210633	NC_004603.1	8	4	1
../tests/test_inputs/GCF_000196095.1_ASM19609v1_genomic.gbff			NC_004605.1	9	4	2
../tests/test_inputs/GCF_000354175.2_ASM35417v2_genomic.gbff	<i>Vibrio alginolyticus</i>	NBRC 15630	NC_022349.1	10	5	1
../tests/test_inputs/GCF_000354175.2_ASM35417v2_genomic.gbff			NC_022359.1	11	5	2
